order_id,customer_id,order_date,status,region_code
cc14db6a-543c-42a2-ac85-f76e7c6d0e4b,UNKNOWN,2025-12-29 09:22:13,DELIVERED,WEST
e64d4b5d-1108-4d3f-b3fd-99104948d21a,522f9bc0-0cc9-4897-9b62-dfbcaac138db,2025-11-09 16:22:13,DELIVERED,NORTH
db8dfa36-42c2-4ede-aef4-5994cefc92b7,84dcb8a1-a647-4198-8406-82c45c9520f2,2025-10-27 00:00:00,PLACED,WEST
d09a778c-d7a2-42ce-a3c7-ba3b8a10c942,e0fdcd9e-022b-48bb-a229-2463965ff1fb,2026-01-19 00:00:00,DELIVERED,NORTH
6cedb27d-1abd-4b26-a86f-dbb59907dc08,e83f4184-8620-48a2-8f56-f66faa5a79b6,2026-05-21 07:22:13,RETURNED,EAST
d5e51fd6-866a-4437-bfa1-e7b84cdf605f,efb289e3-b116-4441-a936-90089048062b,2026-03-03 11:22:13,RETURNED,SOUTH
1a2f7f55-8137-4e66-91b1-b4d19706784b,fb7dc01f-08f0-45ea-afe7-09ab05c660b8,2026-04-22 20:22:13,SHIPPED,SOUTH
d7a7f8a2-1af4-4a30-a0b6-cda4b5c15659,907c83dc-5266-4a3e-a694-1960aaaa88a2,2026-01-27 07:22:13,PLACED,WEST
e1fa8848-58a0-4b68-aaab-c5afa09bb6d5,fd2cb9e5-ab92-4d38-8e42-3e1cc8ca3bb8,2026-07-03 18:22:13,CANCELLED,EAST
44b1c824-da1d-4db3-ab33-e551f8b2b000,be4d7b8c-b667-4767-9e5d-532b32eb2d1c,2026-05-16 09:22:13,DELIVERED,NORTH
dcb37172-7562-4af6-b9b0-8596e26ff1c4,a9f260c6-f355-4b60-a7c7-904758ea58da,2025-08-24 19:22:13,DELIVERED,EAST
8f9dce1c-c30e-4197-8193-09fb61ecc45e,3949a0ba-6da9-45fe-8231-5fd7092ecff7,2025-09-23 00:00:00,PLACED,EAST
6720d786-6b33-4ef9-850a-3a9b2c2a0ed8,debc62f9-c4ab-44e5-b2fe-5372dc32a619,2026-03-09 10:22:13,PLACED,EAST
14ff18e0-5ecd-441e-bd87-cd575108292c,6879d9f5-aa45-406f-b195-4000a0d4dccd,2025-09-02 00:22:13,DELIVERED,NORTH
86b612dc-de07-4b50-b26b-cfea8015735a,UNKNOWN,2025-12-11 15:22:13,PLACED,SOUTH
3689cb9b-7d6d-4a1f-9f0e-26c99f776da6,96ae64c5-c1eb-4b8d-aff3-9ea3af87b05f,2025-10-11 03:22:13,PLACED,EAST
65995207-11f7-4d15-92a0-454f796567cb,3476a8c0-c016-4c25-b209-6a2bd08e690f,2025-08-02 04:22:13,PLACED,NORTH
1ca02f3e-9a11-427f-b6f8-d0616f6fc67b,UNKNOWN,2025-12-04 04:22:13,RETURNED,WEST
