item_id,order_id,product_id,quantity,unit_price,discount_percent
e98f733c-1b29-47ca-b709-002df10d6a32,97054e77-3cc1-42fb-abbc-65897dba1754,79f01ce9-aa00-4d54-ac1b-30dd0d816e3d,6,362.61,9.1
fb5bd9f0-4924-43e4-93df-fdb4f8a74f1f,e1fa8848-58a0-4b68-aaab-c5afa09bb6d5,4ece350b-6ddd-4f38-a68d-39c5c30b37c1,5,559.23,18.52
5628a5ec-05fc-469f-8e73-fc64709c4c12,6d61a03b-ddc2-44a4-8c07-4bc01a851f72,7a796a60-a240-4afb-b936-4b2f26f8f351,3,557.31,20.35
c9f32a31-c901-4122-861f-d19fd3f54e7c,6eebf650-ec56-4eca-b0bb-2f0554f02178,10f490f6-c201-4554-99ae-b0ce09605ee4,9,363.31,2.58
e009ad7c-a5fc-43e5-895c-99abdf4e3a17,21ed7440-3ff6-416d-9bec-f20d60eace69,8d0bbc1d-d37b-44ab-a81f-b42c42032cfc,8,96.22,16.61
936d6c33-c2da-4bb0-87b0-62c75e2d7212,f1605315-8343-4878-a541-8f28b51b1809,e8ea19b1-fc55-400b-bb07-bb1e459828d0,5,202.62,27.13
9ed71edf-c06c-4802-b5ba-5710ecd03273,472af691-a5a7-4d31-a6c5-5d932623db47,452ef805-09fc-4058-8157-06791be97c4b,1,318.37,8.06
8df0bb68-8b88-46e9-9213-93d202dec858,14ff18e0-5ecd-441e-bd87-cd575108292c,0de5fce5-f281-43f8-a510-81605d03847c,8,543.31,15.69
66c1be22-d77d-420a-818a-827d148477b4,c4d119b3-db54-4f92-b64b-ef52c95247a6,1300e2b1-7a98-4b3c-946a-13a0629d4b13,7,113.85,29.73
944cf4b4-21c5-4648-b2ae-17a142c827dc,7559ef93-d073-4b2a-afb1-145907fa38c6,7eacd530-e0b2-4777-b5ac-17afb6b605c6,1,106.66,11.41
f0b8304b-4070-40af-83ee-e6a82a531412,7559ef93-d073-4b2a-afb1-145907fa38c6,984dd28a-1e5f-44c1-94bf-abc3491268d9,2,11.28,12.25
c503e113-4416-42ea-b92d-c71c575946cb,30fa1106-4ca4-4fd0-bd30-e95ca1eeaeba,cf917dab-b2be-4a67-bc4b-95c4b3311382,4,182.16,12.15
f2bea4c1-c338-497f-b400-1c86fa1ecb9d,ecddd676-950b-4d6a-be83-e9616fe3ae44,049697b6-e87a-41fd-bf57-93a0294a0ce8,8,42.83,27.71
c30904c2-b56e-457e-abb5-d66cbc88683c,781c4158-0997-40cd-b24e-8358bf24c977,8a76ff7e-2bcc-4cc2-ba28-a2e82e3268dd,2,14.94,17.36
3c1ea288-3cf2-4d0e-8c97-85139c57d297,ed3424e4-2be4-4905-82d3-f3e4d77aa926,0924f2de-86f3-48ab-a2ec-92605113c9f7,7,539.71,5.67
9b1f9e8d-4a5c-41c8-bc4f-17c0ed824aa9,ad49e7c1-b185-43b3-aff0-fd915f86f068,d1e9faca-ecb9-4419-8462-96b01f3c2e79,2,76.75,11.16
369d413f-6000-4af7-8581-138100646b26,49a8ccea-5d74-4ab3-883f-6a31fcf1595f,02e41628-54f9-4476-8e88-5d6c77bbdfeb,4,47.8,24.54
5398704b-52d8-49ff-bffb-aa8602fdfea1,f91a0c27-d6eb-4b1c-948e-268437428b90,8d0bbc1d-d37b-44ab-a81f-b42c42032cfc,8,485.23,3.65
1efca903-fb3e-41f0-9b50-e806371700e1,2dbe62ec-883e-46b0-ac21-b8111c202edf,fb91179d-070b-4e73-a2c9-c5a0d54dcae5,6,40.52,15.42
4a177a31-5711-4de6-aa0a-e768609080dd,56f946f0-c7a0-4258-9c10-36b085a52d30,7f6d5991-3bcd-44e3-a066-c1ee6c18314f,4,433.45,0.17
6001a500-f1a8-4097-98e4-dc0fa41be05c,c0fb33df-a409-4ffa-b267-5fa185100bf9,1abf075b-5778-4528-9068-2644aadf036b,10,101.07,24.13
eedfe9d7-2ff1-44e9-9742-86e2ea1e3bf0,775dc260-0de8-4349-bfdb-8062d9b903ae,4dc10593-28b3-40d1-9dd1-d55263ccccf7,5,411.03,17.73
c71d3219-7d79-48c8-b2a4-cd8928843a07,9f8b0c9a-e567-4289-9798-19ed686c1e4b,d762f982-ae4c-46e8-b3b5-635455883a71,1,104.41,20.23
3bf6cd16-c52d-4beb-9fb3-7a7a33b6a3e2,c7f6bbe3-bd5b-44fb-9610-6a3972c2a970,049697b6-e87a-41fd-bf57-93a0294a0ce8,5,523.3,11.18
832e59da-1cea-46fe-8d93-776fcf0eda6c,3508ece5-40d3-4a3d-97d3-31ab50dc1c72,26008f5a-41ec-41d0-993b-1ab2fb21e89b,5,469.3,20.28
da73a5b1-76eb-44bf-aa52-bd945396ecc9,ef7250d2-d6a6-4826-b9b7-8ceb03c52989,0924f2de-86f3-48ab-a2ec-92605113c9f7,5,81.14,17.36
ca99350b-c9a9-4b76-a15a-1df63515ef91,c7f6bbe3-bd5b-44fb-9610-6a3972c2a970,e2b293d2-0e14-489a-9dfd-dfe0d9b46111,1,569.04,19.19
609c5e50-535f-4faa-8020-d5f7f526fb44,e023d9cc-3711-4775-8ec9-4e83733da9ce,50c6f235-9f75-4e27-8bc7-890f81a2e512,1,316.61,21.61
c467406b-4af2-448a-9ec5-cd416c6ce05b,6ad47661-f102-4ec7-9935-72920c6582fb,c96555a2-57a1-41da-9a03-ea10e2f1df02,5,238.41,24.16
3a9279b8-f181-444f-a50b-d6f4cbec1467,4dc9c6d8-d773-4520-9f0f-898dab1cd0c8,f6e5a896-1ea5-46b5-b9ec-46ebbaa8e5c3,10,215.3,27.22
2ba0222d-62d9-4b96-ac8a-7769737c82ce,91287ede-9cd2-47e9-985d-07f39ccc72a7,348d42be-0d2a-414a-983e-b5257d62c0ba,7,500.99,23.49
