product_id,product_name,category,subcategory,cost_price
183a031b-e18f-457e-a308-5879e3fa8e6b,Decor Item 0,Home,Decor,256.28
05be7b1e-fe15-41fa-99fe-4217d6528be3,Women Item 1,Clothing,Women,271.15
5e3f7cc6-632b-49b2-9eb9-6fa0d6cc5d40,Non-Fiction Item 2,Books,Non-Fiction,130.9
b2be4e4f-ee07-4848-9c3e-ef0419493bd5,Accessories Item 3,Electronics,Accessories,446.15
30f28588-c509-4687-b00e-7b0d68c894f1,   Fiction Item 4   ,Books,Fiction,85.25
7c3166e9-5d5a-4076-bf1d-790012a467b2,Non-Fiction Item 5,Books,Non-Fiction,35.37
70e252c4-e492-422a-893f-ea36828ac817,FICTION ITEM 6,Books,Fiction,63.34
96693e54-d6e2-4047-9b83-59ebc397b7bb,Phones Item 7,Electronics,Phones,165.8
10f490f6-c201-4554-99ae-b0ce09605ee4,Decor Item 8,Home,Decor,268.15
c6de7b83-d4fd-414e-8e10-8714ac839b66,Laptops Item 9,Electronics,Laptops,53.64
c4609bee-d34d-4ab0-af46-c55962bcefe3,Decor Item 10,Home,Decor,167.66
4ff70e62-e6f7-48bb-ac94-d156bcaf247d,Kitchen Item 11,Home,Kitchen,390.49
7df75deb-3138-4bc7-9441-78c9b48a9533,Non-Fiction Item 12,Books,Non-Fiction,54.07
c4364fa4-0efe-4b78-bcd7-22068ed3b547,Fiction Item 13,Books,Fiction,88.21
719f1995-e039-459d-956c-24b65689af8e,   Kitchen Item 14   ,Home,Kitchen,153.34
8632ea94-68a4-4c36-bcb9-a658f8306e41,Phones Item 15,Electronics,Phones,102.54
45ceda3a-ab15-42a8-8d9f-40e64a1f2cc1,Laptops Item 16,Electronics,Laptops,17.18
8a129cd6-04a8-4adf-b8db-c6b4e827306b,Decor Item 17,Home,Decor,141.38
a734bc25-98c5-4bb9-9fb5-7cd6e5cc37b4,Men Item 18,Clothing,Men,21.16
aa1ea972-fc72-40db-b4b1-353752b81934,Furniture Item 19,Home,Furniture,55.38
6eeb7deb-9113-4ba2-a34e-c5befe63d23f,Comics Item 20,Books,Comics,249.31
a7e25ab3-702f-4896-b69d-6a380217b121,   Accessories Item 21   ,Electronics,Accessories,339.68
920688f2-7c3d-483b-bdec-df5c43963ec1,Decor Item 22,Home,Decor,392.78
073e9d33-8317-45e0-b169-49fe5dae68cf,Decor Item 23,Home,Decor,225.15
440b1102-6fbc-4d0f-ada5-b15a0858112b,Fiction Item 24,Books,Fiction,231.02
5a64b73a-c44d-42f6-8a48-9d735942a96b,Laptops Item 25,Electronics,Laptops,296.49
2d29c279-d81d-4ddb-867d-aae218d00123,Kitchen Item 26,Home,Kitchen,359.51
4054b94d-9171-45b3-bc23-0d90004adfa5,Fiction Item 27,Books,Fiction,319.61
c75dfcde-1e66-4753-8632-9c3c18bc68b4,Laptops Item 28,Electronics,Laptops,145.01
7fa652e0-aa11-45c4-a510-ae7b53f8e56a,Accessories Item 29,Electronics,Accessories,158.23
9a93be5c-f0fd-442b-95b7-600ff164b9cf,Phones Item 30,Electronics,Phones,223.14
6c39cc3a-ec18-4f01-8af4-52ceff053d2e,Women Item 31,Clothing,Women,293.81
2f785653-8983-41f1-9c96-2742c00e5b85,Phones Item 32,Electronics,Phones,226.76
f5dbc579-46bc-4202-aeac-aa800036c1dd,Women Item 33,Clothing,Women,25.19
dea2f6bc-f41e-4413-89e6-80d4ed50ffc8,Laptops Item 34,Electronics,Laptops,277.61
69b43345-efd0-49d5-9af3-a109168609db,Decor Item 35,Home,Decor,349.83
747089cc-2b57-4f36-a485-b4de565e4bf7,Decor Item 36,Home,Decor,428.42
75b1534d-3fb7-4cbc-a193-317380227d4c,Decor Item 37,Home,Decor,212.9
f8787369-ba82-40f7-a172-b21160f18bb9,Laptops Item 38,Electronics,Laptops,486.94
3df3dab3-fc93-4267-83d2-cb4ab1c35cd6,Men Item 39,Clothing,Men,162.73
9efa512d-2c07-433b-b100-77479899c494,Comics Item 40,Books,Comics,391.47
b9a0f31f-17d4-45be-b788-8317707a7560,Fiction Item 41,Books,Fiction,371.79
e7070a35-ac92-4665-be40-8d16ce1bfaeb,   Men Item 42   ,Clothing,Men,70.12
d05ef72a-52b0-4459-81eb-188462328299,Decor Item 43,Home,Decor,105.72
cbcc254f-3d60-4634-9e4a-d9d893b7850a,Decor Item 44,Home,Decor,434.62
